"","x"
"1","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/12mile/Imagery/100241_12mile_line3_2019_08_09_21_28_52"
"2","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Big_Trail_Lake/Imagery/100199_Big_Trail_lake_line1_2019_08_07_20_56_58"
"3","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Big_Trail_Lake/Imagery/100200_Big_Trail_lake_line2_2019_08_07_21_33_06"
"4","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Big_Trail_Lake/Imagery/100201_Big_Trail_lake_line3_2019_08_07_21_46_44"
"5","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Big_Trail_Lake/Imagery/100211_Big_Trail_lake_line6_2019_08_08_00_25_53"
"6","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Bison_Gulch/Imagery_60m/100251_Bison_Gulch_line2_2019_08_12_01_07_28"
"7","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Bison_Gulch/Imagery_100m/100253_Bison_Gulch_line2_100m_2019_08_12_01_41_35"
"8","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Eagle_Summit/Eagle Summit Hillside/Imagery/100167_Eaglesmummit_plot2_50m_2019_08_05_23_24_04"
"9","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Eagle_Summit/Eagle Summit Hillside/Imagery/100168_Eaglesmummit_plot2_line2to3_50m_2019_08_05_23_45_57"
"10","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Wickersham_dome/Imagery/100227_Wickersham_dome_line1_2019_08_08_19_17_56"
"11","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Wickersham_dome/Imagery/100229_Wickersham_dome_line2to3_2019_08_08_19_31_51"
"12","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Wickersham_dome/Imagery/100230_Wickersham_dome_line3_2019_08_08_19_56_28"
"13","M:/Alaska_DATA/Alaska_Summer2019/Data_by_site/Wickersham_dome/Imagery/100231_Wickersham_dome_line2repeat_2019_08_08_20_07_43"
